run,sample,temperature,current,vibration,label
1,56,24.34,4.99,1.02,0
1,57,25.67,5.31,1.04,0
1,58,24.23,4.98,0.95,0
1,59,23.78,5.13,0.93,0
1,60,28.46,5.29,0.78,1
1,61,28.9,4.65,1.11,1
1,62,26.92,4.75,1.02,1
1,63,26.73,4.97,1.19,1
1,64,28.46,5.28,0.8,1
1,65,28.76,4.61,0.8,1
1,66,29.09,4.93,0.99,1
1,67,27.67,4.73,0.75,1
1,68,28.59,5.23,0.89,1
1,69,27.96,5.23,1.08,1
1,70,28.71,4.77,0.78,1
1,71,27.93,4.85,0.78,1
1,72,28.02,5.02,0.78,1
1,73,29.09,4.65,0.78,1
1,74,28.24,5.35,1.03,1
1,75,28.2,4.67,1.08,1
1,76,27.44,4.81,1.08,1
1,77,27.87,4.7,1.07,1
1,78,28.36,5.35,0.75,1
1,79,28.02,4.68,1.02,1
1,80,23.9,4.88,0.78,0
1,81,24.23,4.83,0.97,0
1,82,25.13,4.84,1.24,0
1,83,25.92,5.02,1.08,0
1,84,25.16,5.35,0.8,0
1,85,26.13,4.81,1.19,0
1,86,25.73,4.72,0.89,0
1,87,24.13,4.87,1.09,0
1,88,26.06,5.0,0.88,0
1,89,26.22,4.64,1.07,0
1,90,25.99,4.64,0.92,0
1,91,23.89,5.38,0.83,0
1,92,24.83,5.16,1.03,0
1,93,23.84,5.36,1.1,0
1,94,23.95,4.63,0.93,0
1,95,25.16,4.94,0.77,0
1,96,24.59,5.35,1.24,0
1,97,23.62,4.89,1.09,0
1,98,25.5,4.88,1.03,0
1,99,26.12,5.38,1.12,0
1,100,26.28,4.79,0.83,0
1,101,25.9,4.74,0.96,0
1,102,24.04,5.34,1.14,0
1,103,24.74,5.14,1.12,0
1,104,24.24,4.73,1.1,0
1,105,24.65,4.63,0.99,0
1,106,24.1,5.33,0.92,0
1,107,25.96,5.3,0.86,0
1,108,25.48,4.92,0.89,0
1,109,23.71,5.22,0.93,0
1,110,25.03,5.14,1.17,0
1,111,24.49,4.62,1.19,0
1,112,24.28,5.06,1.24,0
1,113,23.61,5.08,0.92,0
1,114,25.86,5.49,1.24,1
1,115,26.2,5.75,0.77,1
1,116,25.06,6.15,1.09,1
1,117,25.71,6.16,0.97,1
1,118,26.26,5.5,1.08,1
1,119,26.2,5.66,1.08,1
1,120,25.59,5.93,0.85,1
1,121,24.64,5.86,0.84,1
1,122,24.72,5.57,0.9,1
1,123,25.86,5.75,0.91,1
1,124,25.53,5.01,1.15,0
1,125,26.38,5.19,1.08,0
1,126,24.35,5.13,1.06,0
1,127,23.78,5.36,0.87,0
1,128,24.43,5.25,0.82,0
1,129,23.64,5.39,1.06,0
1,130,25.81,4.96,1.19,0
1,131,25.23,5.17,0.94,0
1,132,24.7,4.72,1.09,0
1,133,26.18,5.29,1.19,0
1,134,25.84,4.78,1.15,0
1,135,25.59,4.97,1.03,0
1,136,26.25,4.7,0.82,0
1,137,24.89,5.02,1.03,0
1,138,24.45,5.2,0.97,0
1,139,25.95,5.31,0.96,0
1,140,26.22,4.96,0.83,0
1,141,26.08,4.96,1.13,0
1,142,26.02,4.82,1.14,0
1,143,24.95,4.79,0.97,0
1,144,25.64,4.79,0.92,0
1,145,26.18,4.66,0.83,0
1,146,24.65,4.72,0.86,0
1,147,24.74,4.86,0.98,0
1,148,23.69,5.27,0.94,0
1,149,25.81,5.36,0.76,0
1,150,26.14,5.06,0.99,0
1,151,26.33,4.84,0.94,0
1,152,26.17,5.27,1.02,0
1,153,25.7,5.24,1.2,0
1,154,24.96,4.82,0.99,0
1,155,24.67,5.14,1.15,0
1,156,25.67,5.27,1.21,0
1,157,26.44,5.03,1.2,0
1,158,25.28,5.13,0.79,0
1,159,24.79,5.29,0.84,0
1,160,24.28,4.86,0.98,0
1,161,24.51,5.3,0.89,0
1,162,26.35,4.94,1.17,0
1,163,24.91,5.2,0.78,0
1,164,26.36,4.78,0.78,0
1,165,26.37,4.63,0.77,0
1,166,24.24,5.27,1.06,0
1,167,24.22,4.98,0.81,0
1,168,26.34,4.97,0.88,0
1,169,24.61,5.08,1.23,0
1,170,25.66,5.22,0.83,0
1,171,24.43,5.06,1.21,0
1,172,25.23,5.33,0.94,0
1,173,26.32,4.76,1.05,0
1,174,25.99,4.79,1.1,0
1,175,24.4,5.15,1.15,0
1,176,25.89,5.05,0.77,0
1,177,25.1,5.13,0.78,0
1,178,25.44,4.61,0.96,0
1,179,24.97,4.95,0.93,0
1,180,26.17,4.97,0.83,0
1,181,24.03,5.02,1.08,0
1,182,25.35,5.34,1.14,0
1,183,24.89,5.26,1.05,0
1,184,24.47,4.8,1.22,0
1,185,24.34,4.96,1.13,0
1,186,25.21,5.13,0.92,0
1,187,24.98,4.86,0.99,0
1,188,24.56,4.81,0.89,0
1,189,25.29,5.3,1.03,0
1,190,25.05,4.75,0.87,0
1,191,24.72,5.04,0.87,0
1,192,24.93,5.17,0.97,0
1,193,23.55,4.84,0.95,0
1,194,24.23,5.13,0.93,0
1,195,25.16,4.88,1.25,0
1,196,25.15,4.88,0.98,0
1,197,24.42,4.78,1.11,0
1,198,24.45,5.19,1.23,0
1,199,25.57,4.75,1.12,0
1,200,24.33,5.07,1.13,0
1,201,25.29,5.38,1.3,1
1,202,24.58,4.84,1.21,1
1,203,23.64,4.64,1.62,1
1,204,25.41,5.2,1.16,1
1,205,24.35,4.98,1.63,1
1,206,24.26,5.29,0.81,0
1,207,23.7,4.99,1.04,0
1,208,25.56,4.72,1.16,0
1,209,26.35,4.67,0.87,0
1,210,25.17,4.93,1.05,0
1,211,25.36,5.22,0.94,0
1,212,26.23,4.84,1.04,0
1,213,24.79,5.05,0.78,0
1,214,26.38,4.68,1.13,0
1,215,25.38,4.81,0.79,0
1,216,24.22,5.04,0.83,0
1,217,24.73,5.15,0.98,0
1,218,23.6,4.83,0.89,0
1,219,26.08,4.66,0.87,0
1,220,24.29,5.23,1.04,0
1,221,25.91,4.76,0.81,0
1,222,24.17,4.72,0.88,0
1,223,23.93,4.65,1.15,0
1,224,25.29,5.26,1.21,0
1,225,24.82,4.97,0.9,0
1,226,24.71,4.82,1.02,0
1,227,24.81,5.08,1.19,0
1,228,25.7,5.08,0.76,0
1,229,24.19,5.14,1.18,0
1,230,25.26,4.62,1.13,0
1,231,25.96,5.06,1.13,0
1,232,24.03,5.02,0.97,0
1,233,24.33,5.4,0.97,0
1,234,25.94,5.38,0.99,0
1,235,24.73,4.86,0.8,0
1,236,23.98,4.93,1.0,0
1,237,25.49,4.92,1.13,0
1,238,23.61,4.67,0.88,0
1,239,23.85,5.22,1.18,0
1,240,25.97,4.6,1.18,0
1,241,24.89,4.64,1.01,0
1,242,25.37,5.0,0.97,0
1,243,23.65,4.81,0.82,0
1,244,24.36,5.3,0.99,0
1,245,23.59,5.1,1.15,0
1,246,25.63,4.85,0.76,0
1,247,24.72,4.78,1.17,0
1,248,23.84,5.36,1.07,0
1,249,23.96,5.35,0.9,0
1,250,25.62,4.93,0.99,0
1,251,24.92,4.97,0.82,0
1,252,24.07,5.08,1.12,0
1,253,23.91,4.66,1.14,0
1,254,26.06,4.87,1.14,0
1,255,24.3,4.6,1.11,0
1,256,26.01,5.06,1.08,0
1,257,26.1,4.96,0.99,0
1,258,24.5,5.21,0.94,0
1,259,26.3,5.3,1.24,0
1,260,24.22,4.91,1.18,0
1,261,24.73,4.85,0.99,0
1,262,26.24,4.9,1.24,0
1,263,25.88,5.12,0.83,0
1,264,26.39,4.7,1.23,0
1,265,24.5,4.68,1.17,0
1,266,23.8,5.33,0.76,0
1,267,23.93,5.3,1.23,0
1,268,23.72,5.23,0.88,0
1,269,25.37,4.92,0.79,0
1,270,24.49,5.14,1.02,0
1,271,26.36,5.1,1.19,0
1,272,24.96,5.03,1.06,0
1,273,24.2,5.15,0.89,0
1,274,24.18,4.67,1.24,0
1,275,25.78,5.16,0.8,0
1,276,24.0,4.84,0.76,0
1,277,24.47,4.64,0.93,0
1,278,24.79,4.8,0.96,0
1,279,25.55,4.74,0.84,0
1,280,25.33,4.91,1.09,0
1,281,24.99,5.07,0.87,0
1,282,25.41,4.97,1.08,0
1,283,26.2,4.97,0.89,0
1,284,25.14,4.66,1.22,0
1,285,26.46,4.84,1.23,0
1,286,25.57,4.97,0.9,0
1,287,26.5,5.28,0.8,0
1,288,24.64,4.89,0.9,0
1,289,25.6,4.62,1.17,0
1,290,24.69,4.61,1.18,0
1,291,25.83,5.38,1.21,0
1,292,25.74,5.27,1.2,0
1,293,25.83,4.78,1.15,0
1,294,24.16,4.75,0.88,0
1,295,25.77,5.21,1.09,0
1,296,23.91,4.68,1.06,0
1,297,23.62,5.23,0.77,0
1,298,24.59,4.71,1.2,0
1,299,24.48,4.93,0.85,0
1,300,25.86,5.3,0.93,0
2,1,23.99,5.33,1.22,0
2,2,26.4,4.84,1.19,0
2,3,25.91,4.97,0.79,0
2,4,25.76,4.78,1.09,0
2,5,25.52,4.92,1.17,0
2,6,25.17,4.67,0.95,0
2,7,24.29,4.7,0.93,0
2,8,25.75,4.81,0.94,0
2,9,25.42,4.9,1.09,0
2,10,24.91,5.1,1.22,0
2,11,24.48,5.09,1.07,0
2,12,25.41,4.97,1.1,0
2,13,25.45,4.69,0.77,0
2,14,23.61,5.4,0.81,0
2,15,24.2,5.03,0.94,0
2,16,24.61,5.36,1.1,0
2,17,25.12,5.07,1.11,0
2,18,26.16,5.12,1.17,0
2,19,25.35,5.35,0.89,0
2,20,25.57,4.77,0.97,0
2,21,24.21,4.89,1.24,0
2,22,24.6,5.32,1.07,0
2,23,23.68,4.82,1.23,0
2,24,26.35,5.26,0.8,0
2,25,24.14,5.11,1.24,0
2,26,23.65,4.87,1.24,0
2,27,25.86,4.76,1.16,0
2,28,25.16,5.07,1.16,0
2,29,24.2,5.22,1.14,0
2,30,25.29,4.82,1.24,0
2,31,26.46,5.03,1.15,0
2,32,23.83,5.29,0.82,0
2,33,24.57,5.23,1.04,0
2,34,23.55,4.81,0.81,0
2,35,24.76,4.69,0.78,0
2,36,24.84,4.89,1.05,0
2,37,24.86,4.78,1.06,0
2,38,25.68,5.33,1.08,0
2,39,24.4,5.11,0.77,0
2,40,26.5,5.28,0.96,0
2,41,23.82,5.17,0.97,0
2,42,26.2,4.86,0.82,0
2,43,23.88,5.1,1.04,0
2,44,25.64,4.9,1.05,0
2,45,24.38,5.0,0.97,0
2,46,25.88,4.69,1.08,0
2,47,26.13,5.04,1.18,0
2,48,24.79,5.31,0.96,0
2,49,25.98,4.92,1.11,0
2,50,24.44,4.85,0.88,0
2,51,26.36,5.15,0.99,0
2,52,28.73,4.67,0.97,1
2,53,29.37,4.7,0.78,1
2,54,29.12,5.14,0.96,1
2,55,26.65,4.94,1.21,1
2,56,28.02,4.85,0.8,1
2,57,27.55,4.99,1.17,1
2,58,27.18,4.69,0.89,1
2,59,28.37,5.05,1.13,1
2,60,28.47,5.05,1.05,1
2,61,28.79,4.62,0.89,1
2,62,26.93,4.88,0.84,1
2,63,29.42,4.66,1.12,1
2,64,27.86,5.02,0.94,1
2,65,29.32,4.85,0.91,1
2,66,28.76,5.31,0.83,1
2,67,27.77,4.67,0.97,1
2,68,28.04,4.93,0.86,1
2,69,28.28,4.69,1.09,1
2,70,29.45,4.85,0.86,1
2,71,28.8,4.76,1.22,1
2,72,25.79,4.83,0.81,0
2,73,24.99,4.94,0.81,0
2,74,25.1,4.78,1.03,0
2,75,25.5,4.88,0.95,0
2,76,25.73,4.95,0.98,0
2,77,23.73,4.85,0.96,0
2,78,24.71,5.11,0.89,0
2,79,24.72,5.37,0.84,0
2,80,26.34,4.97,1.09,0
2,81,24.59,4.95,0.8,0
2,82,24.81,4.92,0.79,0
2,83,26.11,5.2,0.86,0
2,84,25.84,4.66,1.07,0
2,85,25.09,4.76,1.14,0
2,86,24.55,5.37,1.07,0
2,87,23.94,4.68,0.88,0
2,88,24.02,4.72,1.13,0
2,89,23.73,5.36,1.06,0
2,90,24.89,5.05,1.04,0
2,91,25.54,5.31,1.07,0
2,92,26.46,4.86,1.24,0
2,93,24.45,4.95,0.98,0
2,94,25.39,5.24,1.05,0
2,95,24.56,4.66,0.98,0
2,96,23.61,4.89,0.89,0
2,97,25.43,5.38,0.8,0
2,98,25.28,4.91,1.04,0
2,99,26.36,5.19,0.77,0
2,100,26.23,5.06,0.84,0
2,101,25.32,5.0,1.23,0
2,102,24.85,5.25,1.17,0
2,103,26.45,4.67,1.07,0
2,104,23.62,5.17,1.25,0
2,105,25.07,5.09,0.93,0
2,106,26.25,4.91,1.14,0
2,107,25.54,4.64,1.07,0
2,108,24.5,4.86,1.03,0
2,109,24.66,4.8,1.18,0
2,110,26.39,5.08,0.83,0
2,111,23.74,5.13,1.21,0
2,112,24.43,5.12,1.08,0
2,113,23.89,5.17,0.79,0
2,114,25.18,5.11,0.91,0
2,115,23.88,5.16,1.22,0
2,116,26.49,5.33,0.8,0
2,117,25.51,5.01,0.76,0
2,118,24.43,5.36,0.92,0
2,119,25.8,4.75,1.25,0
2,120,23.96,4.84,1.14,0
2,121,25.02,5.03,1.12,0
2,122,25.08,5.13,1.19,0
2,123,25.35,5.08,0.83,0
2,124,24.04,5.15,1.06,0
2,125,26.21,5.18,0.77,0
2,126,24.59,5.18,1.23,0
2,127,25.33,5.2,1.14,0
2,128,24.2,4.79,1.23,0
2,129,25.85,5.32,0.85,0
2,130,25.53,5.06,0.97,0
2,131,25.81,5.22,1.0,0
2,132,24.76,4.73,0.85,0
2,133,25.31,5.3,0.78,0
2,134,24.94,5.97,1.22,1
2,135,25.05,5.53,0.79,1
2,136,24.85,5.47,1.17,1
2,137,26.23,6.14,1.19,1
2,138,24.74,5.71,0.94,1
2,139,23.74,5.48,0.91,1
2,140,25.64,5.43,0.82,1
2,141,26.25,6.01,1.17,1
2,142,24.91,5.42,1.2,1
2,143,24.15,5.89,1.22,1
2,144,24.77,5.22,0.87,0
2,145,23.87,4.79,1.07,0
2,146,25.37,4.65,1.17,0
2,147,25.0,5.03,1.07,0
2,148,25.23,5.17,0.9,0
2,149,23.5,4.88,1.04,0
2,150,24.06,5.13,1.01,0
2,151,24.58,5.36,1.02,0
2,152,25.86,5.01,0.76,0
2,153,26.12,4.63,0.94,0
2,154,24.62,5.2,0.93,0
2,155,23.7,4.79,1.08,0
2,156,23.81,5.07,1.13,0
2,157,23.9,4.88,0.92,0
2,158,25.43,5.26,1.09,0
2,159,26.44,4.98,0.84,0
2,160,23.9,5.17,1.22,0
2,161,23.61,4.76,1.15,0
2,162,26.16,4.85,0.91,0
2,163,24.69,5.25,0.99,0
2,164,23.61,5.12,0.89,0
2,165,26.09,4.64,1.08,0
2,166,24.32,5.24,0.97,0
2,167,24.7,4.95,1.23,0
2,168,24.52,4.75,1.1,0
2,169,24.6,5.24,0.88,0
2,170,23.75,4.94,0.97,0
2,171,26.49,4.74,0.9,0
2,172,23.81,4.86,0.9,0
2,173,24.84,5.17,0.83,0
2,174,24.83,4.96,1.11,0
2,175,26.23,5.09,0.97,0
2,176,25.42,5.23,0.78,0
2,177,25.51,4.92,1.01,0
2,178,25.75,4.73,0.77,0
2,179,26.05,5.14,0.97,0
2,180,23.88,4.79,1.07,0
2,181,24.59,5.36,0.77,0
2,182,23.96,4.96,0.94,0
2,183,24.83,4.66,0.82,0
2,184,24.6,4.85,0.89,0
2,185,26.38,4.62,0.84,0
2,186,25.05,5.33,0.81,0
2,187,25.82,5.16,0.86,0
2,188,25.34,5.16,1.25,0
2,189,24.1,4.71,0.79,0
2,190,24.02,5.17,1.25,0
2,191,25.93,5.37,1.24,0
2,192,25.5,5.17,1.02,0
2,193,24.37,4.84,0.83,0
2,194,25.63,5.16,0.84,0
2,195,24.58,4.78,1.24,0
2,196,25.88,4.79,1.0,0
2,197,24.58,5.06,0.98,0
2,198,26.45,4.7,1.19,0
2,199,23.7,4.92,1.11,0
2,200,24.94,4.93,0.95,0
2,201,25.22,4.7,0.91,0
2,202,23.72,4.97,1.01,0
2,203,23.89,5.26,1.03,0
2,204,25.26,5.21,0.81,0
2,205,25.01,5.29,1.17,0
2,206,25.05,4.84,0.83,0
2,207,26.3,4.78,1.22,0
2,208,25.06,4.83,0.79,0
2,209,24.09,5.37,0.89,0
2,210,25.38,5.09,0.8,0
2,211,25.42,5.07,1.04,0
2,212,24.01,5.1,1.2,0
2,213,24.51,5.34,0.77,0
2,214,26.09,4.66,1.22,0
2,215,25.81,4.81,0.86,0
2,216,25.22,5.09,0.77,0
2,217,26.17,5.04,1.07,0
2,218,24.41,4.8,1.15,0
2,219,24.72,4.96,1.09,0
2,220,23.97,4.93,0.98,0
2,221,24.52,4.71,1.18,0
2,222,24.46,5.39,0.92,0
2,223,24.7,5.21,1.01,0
2,224,23.82,4.79,0.81,0
2,225,24.85,4.71,0.78,0
2,226,26.34,5.29,0.96,0
2,227,26.39,5.32,1.16,0
2,228,26.3,5.18,0.84,0
2,229,23.98,5.4,0.98,0
2,230,26.14,5.0,0.8,0
2,231,24.68,4.97,0.87,0
2,232,25.25,4.64,0.89,0
2,233,25.29,5.27,1.09,0
2,234,24.36,4.61,0.8,0
2,235,23.9,4.81,0.93,0
2,236,24.71,4.64,0.78,0
2,237,25.19,4.89,0.89,0
2,238,24.66,4.96,1.02,0
2,239,25.98,5.1,1.06,0
2,240,23.89,4.68,0.94,0
2,241,26.46,5.05,0.93,0
2,242,23.93,5.08,0.95,0
2,243,23.62,4.63,1.11,0
2,244,25.91,5.02,0.82,0
2,245,26.18,4.71,1.22,0
2,246,24.46,4.91,1.06,0
2,247,26.03,5.07,1.0,0
2,248,25.03,4.99,1.03,0
2,249,24.92,4.61,0.92,0
2,250,23.83,4.93,0.9,0
2,251,26.2,5.3,1.06,0
2,252,25.29,4.81,1.08,0
2,253,26.42,5.06,1.18,1
2,254,24.94,5.02,1.54,1
2,255,24.64,5.26,1.44,1
2,256,25.6,4.75,1.36,1
2,257,24.74,4.76,1.46,1
2,258,24.91,5.28,1.11,0
2,259,25.62,5.01,1.03,0
2,260,26.49,4.98,0.94,0
2,261,26.37,4.97,1.02,0
2,262,25.14,5.14,1.18,0
2,263,25.54,5.24,0.88,0
2,264,24.95,5.37,0.89,0
2,265,24.4,5.35,1.24,0
2,266,25.81,5.16,1.1,0
2,267,24.97,4.98,1.03,0
2,268,26.3,5.18,0.89,0
2,269,25.22,5.03,1.2,0
2,270,24.68,4.88,1.14,0
2,271,23.94,4.63,1.23,0
2,272,23.74,5.34,1.08,0
2,273,25.74,4.77,1.16,0
2,274,24.31,5.05,0.89,0
2,275,23.83,5.19,0.87,0
2,276,23.65,5.32,0.86,0
2,277,24.2,4.68,0.92,0
2,278,24.92,5.14,0.82,0
2,279,26.39,5.38,0.83,0
2,280,25.46,5.3,0.99,0
2,281,25.45,5.2,0.89,0
2,282,24.36,4.65,1.13,0
2,283,25.46,4.79,1.12,0
2,284,26.05,4.63,1.21,0
2,285,24.75,5.27,1.22,0
2,286,23.61,5.27,1.14,0
2,287,24.06,5.2,1.19,0
2,288,24.37,4.63,0.9,0
2,289,25.31,5.34,0.92,0
2,290,24.86,5.11,1.01,0
2,291,26.17,4.71,1.0,0
2,292,24.32,5.25,0.92,0
2,293,25.69,5.12,1.11,0
2,294,23.54,4.87,0.9,0
2,295,25.52,4.75,1.06,0
2,296,25.42,4.92,0.96,0
2,297,24.48,4.92,0.8,0
2,298,26.45,4.98,1.22,0
2,299,23.52,4.91,0.97,0
2,300,24.3,4.86,1.04,0
3,1,25.46,5.15,0.78,0
3,2,23.85,4.85,0.95,0
3,3,25.01,5.32,1.1,0
3,4,24.43,4.69,1.21,0
3,5,24.39,5.09,0.86,0
3,6,23.9,4.72,1.12,0
3,7,25.32,4.93,1.02,0
3,8,24.91,5.03,1.08,0
3,9,24.16,4.8,1.13,0
3,10,26.12,4.67,0.97,0
3,11,25.61,4.66,1.03,0
3,12,23.69,5.04,1.0,0
3,13,25.22,4.72,0.91,0
3,14,25.06,4.69,0.85,0
3,15,25.25,4.67,1.01,0
3,16,25.93,4.96,1.01,0
3,17,24.87,4.65,0.98,0
3,18,25.92,5.18,0.95,0
3,19,25.95,5.2,1.04,0
3,20,23.64,4.88,0.78,0
3,21,26.48,5.35,0.78,0
3,22,26.3,4.63,0.95,0
3,23,25.81,5.21,1.24,0
3,24,25.44,4.94,1.25,0
3,25,24.65,5.3,1.2,0
3,26,24.63,5.15,1.08,0
3,27,25.12,5.12,0.92,0
3,28,24.04,5.03,1.01,0
3,29,25.68,4.78,0.75,0
3,30,23.57,4.84,1.09,0
3,31,25.13,5.03,1.16,0
3,32,24.24,4.88,0.89,0
3,33,26.31,5.18,0.81,0
3,34,25.93,4.94,1.13,0
3,35,26.15,4.61,0.85,0
3,36,23.8,4.63,1.05,0
3,37,25.61,4.64,1.12,0
3,38,24.71,4.79,0.86,0
3,39,26.09,4.65,1.0,0
3,40,24.37,5.25,1.12,0
3,41,24.46,5.08,1.09,0
3,42,24.46,4.84,0.82,0
3,43,25.48,4.78,0.9,0
3,44,23.68,5.36,1.19,0
3,45,26.23,5.1,0.96,0
3,46,24.99,5.38,1.22,0
3,47,25.51,5.23,0.91,0
3,48,24.75,4.72,0.94,0
3,49,25.76,4.98,1.17,0
3,50,24.4,5.17,1.15,0
3,51,26.24,5.05,1.23,0
3,52,25.17,4.71,0.87,0
3,53,24.11,5.12,1.21,0
3,54,26.04,4.67,1.11,0
3,55,24.07,4.81,1.09,0
3,56,28.79,5.3,0.84,1
3,57,29.11,5.05,0.99,1
3,58,29.31,5.37,0.76,1
3,59,27.94,4.69,1.25,1
3,60,29.25,5.08,0.85,1
3,61,28.1,5.22,0.94,1
3,62,27.99,4.81,1.01,1
3,63,29.02,5.39,0.98,1
3,64,28.19,4.9,0.96,1
3,65,29.3,4.72,0.88,1
3,66,27.49,4.93,0.83,1
3,67,28.46,5.27,1.0,1
3,68,29.4,4.81,1.16,1
3,69,28.88,4.99,0.83,1
3,70,29.25,5.18,0.99,1
3,71,26.6,5.11,0.78,1
3,72,28.79,5.36,1.08,1
3,73,28.62,5.27,0.87,1
3,74,28.35,5.0,0.94,1
3,75,27.96,5.09,0.99,1
3,76,23.52,5.04,0.76,0
3,77,25.09,4.82,1.24,0
3,78,23.55,5.25,1.09,0
3,79,25.92,5.33,0.8,0
3,80,23.79,4.72,0.85,0
3,81,25.08,5.25,0.88,0
3,82,24.69,4.9,0.95,0
3,83,25.2,5.39,0.86,0
3,84,25.55,5.28,1.08,0
3,85,26.07,5.21,0.8,0
3,86,24.64,5.04,0.78,0
3,87,23.53,4.74,1.0,0
3,88,24.8,5.23,1.03,0
3,89,26.07,4.68,1.01,0
3,90,23.63,4.77,1.18,0
3,91,26.16,4.98,0.77,0
3,92,23.72,5.34,1.2,0
3,93,25.19,4.63,1.21,0
3,94,24.44,5.37,1.04,0
3,95,25.76,5.17,0.95,0
3,96,23.73,4.73,0.87,0
3,97,26.0,4.91,1.2,0
3,98,24.5,5.2,0.82,0
3,99,26.47,5.18,1.0,0
3,100,26.42,4.64,0.97,0
3,101,26.02,6.16,1.13,1
3,102,24.69,5.62,0.76,1
3,103,26.48,6.15,0.93,1
3,104,24.8,5.47,1.08,1
3,105,25.36,5.47,1.11,1
3,106,23.96,5.99,1.07,1
3,107,24.45,5.65,0.75,1
3,108,24.58,5.55,0.82,1
3,109,24.85,5.42,0.95,1
3,110,24.56,5.66,1.05,1
3,111,24.66,4.83,0.94,0
3,112,23.75,5.32,1.2,0
3,113,26.43,5.06,0.83,0
3,114,24.64,4.71,0.9,0
3,115,24.98,4.65,0.97,0
3,116,24.76,4.99,0.79,0
3,117,24.26,4.8,1.06,0
3,118,25.28,4.76,0.8,0
3,119,24.41,5.36,0.92,0
3,120,25.36,5.24,0.91,0
3,121,24.5,5.25,1.18,0
3,122,26.42,4.71,0.91,0
3,123,26.34,4.76,0.91,0
3,124,26.39,5.37,0.9,0
3,125,25.58,4.99,1.04,0
3,126,24.23,4.9,1.16,0
3,127,24.68,4.69,1.03,0
3,128,25.28,5.04,1.09,0
3,129,25.15,5.36,0.98,0
3,130,25.63,4.95,0.9,0
3,131,25.58,5.26,1.15,0
3,132,24.73,5.0,1.07,0
3,133,24.23,5.13,1.11,0
3,134,25.87,4.66,1.25,0
3,135,24.94,4.92,1.0,0
3,136,26.26,5.15,1.02,0
3,137,25.87,4.89,1.2,0
3,138,25.11,5.11,0.79,0
3,139,25.81,5.13,0.93,0
3,140,25.44,4.64,1.24,0
3,141,25.53,4.92,1.13,0
3,142,26.4,4.94,0.76,0
3,143,24.28,5.01,1.01,0
3,144,25.24,5.06,0.97,0
3,145,24.67,5.22,1.04,0
3,146,25.0,4.88,0.76,0
3,147,23.81,4.93,1.23,0
3,148,23.85,5.35,0.82,0
3,149,24.44,4.96,0.85,0
3,150,24.95,4.98,0.97,0
3,151,25.59,4.86,0.9,0
3,152,25.93,4.69,1.17,0
3,153,25.44,5.14,0.83,0
3,154,26.45,4.8,0.84,0
3,155,23.98,5.05,1.23,0
3,156,24.2,4.92,0.84,0
3,157,25.42,4.95,0.76,0
3,158,25.34,4.76,1.05,0
3,159,24.67,5.16,0.85,0
3,160,25.76,5.25,0.78,0
3,161,23.81,5.3,0.84,0
3,162,24.48,4.97,0.88,0
3,163,26.09,5.02,1.07,0
3,164,25.29,5.09,1.04,0
3,165,24.54,5.28,1.06,0
3,166,25.94,5.16,0.9,0
3,167,25.34,4.67,0.82,0
3,168,23.85,4.84,0.84,0
3,169,25.58,5.01,0.96,0
3,170,23.91,4.91,0.84,0
3,171,25.41,5.15,1.07,0
3,172,26.5,5.04,0.99,0
3,173,23.92,4.85,0.98,0
3,174,23.66,4.89,0.75,0
3,175,23.91,5.25,1.23,0
